;Kingdom;Phylum;Class;Order;Family;Genus
ASV_55;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae | Granulosicoccus
ASV_56;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | Boseongicola
ASV_57;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Sphingobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Sphingobacteriales | NS11-12 marine group;Bacteria | Bacteroidetes | Bacteroidia | Sphingobacteriales | NS11-12 marine group | unknown genus
ASV_58;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | unknown genus
ASV_59;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | unknown genus
ASV_60;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | Saprospiraceae | Rubidimonas
ASV_61;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae | Granulosicoccus
ASV_62;Bacteria;Bacteria | Chloroflexi;Bacteria | Chloroflexi | Anaerolineae;Bacteria | Chloroflexi | Anaerolineae | Anaerolineales;Bacteria | Chloroflexi | Anaerolineae | Anaerolineales | Anaerolineaceae;Bacteria | Chloroflexi | Anaerolineae | Anaerolineales | Anaerolineaceae | unknown genus
ASV_63;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiohalorhabdales | Thiohalorhabdaceae | Granulosicoccus
ASV_64;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae | Tistlia
ASV_65;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales | Sphingomonadaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Sphingomonadales | Sphingomonadaceae | Porphyrobacter
ASV_66;Bacteria;Bacteria | Verrucomicrobia;Bacteria | Verrucomicrobia | Verrucomicrobiae;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | Rubritaleaceae;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | Rubritaleaceae | Roseibacillus
ASV_67;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae;Bacteria | Bacteroidetes | Bacteroidia | Flavobacteriales | Flavobacteriaceae | Algitalea
ASV_68;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_69;Bacteria;Bacteria | Verrucomicrobia;Bacteria | Verrucomicrobia | Verrucomicrobiae;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | DEV007;Bacteria | Verrucomicrobia | Verrucomicrobiae | Verrucomicrobiales | DEV007 | unknown genus
ASV_70;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae | Pelagibius
ASV_71;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodobacterales | Rhodobacteraceae | unknown genus
ASV_72;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
ASV_73;Bacteria;Bacteria | Bacteroidetes;Bacteria | Bacteroidetes | Bacteroidia;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | unknown family;Bacteria | Bacteroidetes | Bacteroidia | Chitinophagales | unknown family | unknown genus
ASV_74;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae;Bacteria | Proteobacteria | Alphaproteobacteria | Rhodovibrionales | Kiloniellaceae | unknown genus
ASV_75;Bacteria;Bacteria | Proteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae;Bacteria | Proteobacteria | Gammaproteobacteria | Thiotrichales | Thiotrichaceae | Leucothrix
ASV_76;None;None | unknown;None | unknown | unknown;None | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown;None | unknown | unknown | unknown | unknown | unknown
